epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9857,1.84016,4.31263,3.10426,0.40645,0.53243,0.37737,0.20439,1.73115,2.18387,2.94396,0.000411325,0.000411325,0.000411325
2,78.5205,1.61319,2.62458,2.91289,0.37818,0.41917,0.33141,0.19457,1.72303,2.16776,2.80463,0.000819794,0.000819794,0.000819794
3,115.575,1.65455,2.32547,2.92975,0.28029,0.45485,0.29969,0.14874,1.88766,2.36467,3.12477,0.00122001,0.00122001,0.00122001
4,152.059,1.57327,2.18402,2.83269,0.36366,0.60603,0.44581,0.26242,1.73694,2.12263,2.87394,0.00121287,0.00121287,0.00121287
5,188.808,1.51866,2.06288,2.78955,0.35899,0.62233,0.52787,0.34388,1.69871,1.97213,2.75435,0.0012005,0.0012005,0.0012005
6,225.358,1.48897,1.95723,2.74304,0.57944,0.64718,0.61221,0.43351,1.63659,1.71317,2.70068,0.00118812,0.00118812,0.00118812
7,261.904,1.45218,1.92517,2.69965,0.51525,0.58617,0.543,0.40578,1.60707,2.14365,2.52371,0.00117575,0.00117575,0.00117575
8,298.35,1.43137,1.87636,2.68305,0.4652,0.52837,0.5269,0.33264,1.68055,1.95587,2.66148,0.00116337,0.00116337,0.00116337
9,334.821,1.41192,1.78286,2.65103,0.59614,0.60283,0.64164,0.40641,1.62119,1.82978,2.66939,0.001151,0.001151,0.001151
10,371.268,1.36647,1.73465,2.61879,0.48977,0.69543,0.64242,0.44775,1.61517,1.96607,2.581,0.00113863,0.00113863,0.00113863
11,408.136,1.33757,1.70304,2.57439,0.65649,0.57089,0.63948,0.41284,1.6685,1.73146,2.81126,0.00112625,0.00112625,0.00112625
12,444.614,1.33308,1.68068,2.56805,0.67488,0.72483,0.70206,0.51499,1.46541,1.59549,2.38911,0.00111388,0.00111388,0.00111388
13,481.12,1.30966,1.6847,2.55563,0.68242,0.60059,0.68799,0.49725,1.45023,1.58917,2.39047,0.0011015,0.0011015,0.0011015
14,517.526,1.29532,1.64345,2.52339,0.64575,0.56606,0.6375,0.43961,1.46502,1.88775,2.39686,0.00108913,0.00108913,0.00108913
15,553.918,1.27586,1.63193,2.54602,0.68035,0.69323,0.73047,0.5187,1.45196,1.51603,2.38469,0.00107675,0.00107675,0.00107675
16,590.348,1.23725,1.58009,2.52527,0.66835,0.59262,0.68978,0.49291,1.39328,1.70366,2.28996,0.00106437,0.00106437,0.00106437
17,626.684,1.27397,1.58054,2.52543,0.736,0.5965,0.66789,0.4651,1.47842,1.7203,2.40719,0.001052,0.001052,0.001052
18,663.357,1.23125,1.53298,2.46764,0.63878,0.62494,0.68227,0.496,1.46399,1.78524,2.28864,0.00103962,0.00103962,0.00103962
19,699.729,1.22625,1.50105,2.46547,0.64642,0.64721,0.70809,0.50966,1.47943,1.78654,2.33853,0.00102725,0.00102725,0.00102725
20,736.155,1.21362,1.48555,2.4079,0.62473,0.74807,0.76921,0.5658,1.40372,1.4518,2.2992,0.00101488,0.00101488,0.00101488
21,772.636,1.2118,1.50863,2.40884,0.72665,0.66142,0.76764,0.52271,1.3846,1.47109,2.38436,0.0010025,0.0010025,0.0010025
22,809.006,1.19333,1.44791,2.44154,0.65611,0.63406,0.72812,0.50481,1.43251,1.6531,2.28513,0.000990125,0.000990125,0.000990125
23,845.398,1.20715,1.45435,2.44286,0.75215,0.61985,0.74215,0.53364,1.39646,1.57331,2.25794,0.00097775,0.00097775,0.00097775
24,882.17,1.17154,1.43234,2.40772,0.69794,0.69889,0.76067,0.56635,1.37897,1.60545,2.28953,0.000965375,0.000965375,0.000965375
25,918.55,1.1844,1.40528,2.41459,0.71505,0.63394,0.73844,0.53157,1.33675,1.55565,2.17293,0.000953,0.000953,0.000953
26,955.006,1.16216,1.3997,2.38888,0.71807,0.62165,0.77032,0.56458,1.33899,1.51056,2.20273,0.000940625,0.000940625,0.000940625
27,991.373,1.14494,1.37305,2.40638,0.73637,0.72356,0.79882,0.59731,1.27755,1.39187,2.18755,0.00092825,0.00092825,0.00092825
28,1027.84,1.14533,1.35866,2.37238,0.75569,0.6688,0.80471,0.56511,1.3466,1.39188,2.29759,0.000915875,0.000915875,0.000915875
29,1064.31,1.13139,1.34954,2.31588,0.82022,0.64738,0.75656,0.56461,1.29708,1.50769,2.20509,0.0009035,0.0009035,0.0009035
